0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	0	0.0
4	6881309	0	0.0
5	6824881	1	1.465227E-7
6	6850018	1	1.4598501E-7
7	6875470	0	0.0
8	6836062	0	0.0
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	1	1.4566139E-7
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	0	0.0
8	6836062	1	1.4628306E-7
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	1	1.4566139E-7
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	0	0.0
8	6836062	1	1.4628306E-7
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	1	1.4566139E-7
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	0	0.0
8	6836062	0	0.0
9	6891740	1	1.4510124E-7
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	0	0.0
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	0	0.0
8	6836062	1	1.4628306E-7
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	0	0.0
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	0	0.0
8	6836062	1	1.4628306E-7
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	1	1.4566139E-7
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	1	1.454446E-7
8	6836062	0	0.0
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	0	0.0
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	1	1.454446E-7
8	6836062	0	0.0
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	0	0.0
2	6801467	0	0.0
3	6865237	0	0.0
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	1	1.454446E-7
8	6836062	0	0.0
9	6891740	0	0.0
0	6810187	0	0.0
1	6839005	1	1.462201E-7
2	6801467	0	0.0
3	6865237	0	0.0
4	6881309	0	0.0
5	6824881	0	0.0
6	6850018	0	0.0
7	6875470	0	0.0
8	6836062	0	0.0
9	6891740	0	0.0
